name,league,rank,prev_rank,off,def,spi
fc sion,swiss raiffeisen super league,181.000,182.000,1.600,1.400,48.500
colon santa fe,argentina primera division,182.000,183.000,1.100,1.000,48.400
sk brann,norwegian tippeligaen,183.000,215.000,1.400,1.200,48.300
rayo vallecano,spanish segunda division,184.000,190.000,1.500,1.400,48.300
hapoel be'er,uefa europa league,185.000,184.000,1.400,1.200,48.300
cardiff city,english league championship,186.000,185.000,1.300,1.200,48.300
vasco da gama,brasileiro srie a,187.000,161.000,1.300,1.100,48.300
san lorenzo,argentina primera division,188.000,186.000,1.100,1.000,48.200
cruz azul,mexican primera division torneo apertura,189.000,187.000,1.300,1.200,48.100
cadiz,spanish segunda division,190.000,179.000,1.000,0.900,48.100
konyaspor,turkish turkcell super lig,191.000,188.000,1.200,1.100,48.000
caen,french ligue 1,192.000,191.000,1.200,1.100,47.900
holstein kiel,german 2. bundesliga,193.000,193.000,1.500,1.400,47.800
atltico paranaense,brasileiro srie a,194.000,194.000,1.200,1.100,47.700
huracn,argentina primera division,195.000,195.000,1.300,1.200,47.500
parma,italy serie b,196.000,197.000,1.100,1.000,47.400
malmo ff,swedish allsvenskan,197.000,177.000,1.400,1.400,47.300
amkar perm,russian premier liga,198.000,198.000,1.000,0.900,47.300
stersunds fk,swedish allsvenskan,199.000,214.000,1.400,1.400,47.100
benevento,italy serie a,200.000,199.000,1.400,1.400,46.900
maccabi tel-aviv,uefa europa league,201.000,200.000,1.300,1.200,46.900
belgrano cordoba,argentina primera division,202.000,201.000,1.200,1.100,46.900
1. fc nrnberg,german 2. bundesliga,203.000,202.000,1.400,1.300,46.800
brentford,english league championship,204.000,203.000,1.300,1.300,46.800
santos,brasileiro srie a,205.000,192.000,1.200,1.200,46.800
argentinos juniors,argentina primera division,206.000,204.000,1.100,1.100,46.700
estudiantes,argentina primera division,207.000,205.000,1.000,1.000,46.700
troyes,french ligue 1,208.000,206.000,1.200,1.200,46.600
alanyaspor,turkish turkcell super lig,209.000,207.000,1.600,1.600,46.400
baha,brasileiro srie a,210.000,225.000,1.200,1.200,46.100
ifk norrkoping,swedish allsvenskan,211.000,242.000,1.500,1.500,45.900
sport recife,brasileiro srie a,212.000,235.000,1.300,1.300,45.900
le havre,french ligue 2,213.000,210.000,1.100,1.100,45.600
tijuana,mexican primera division torneo apertura,214.000,211.000,1.200,1.200,45.400
vtoria,brasileiro srie a,215.000,209.000,1.400,1.400,45.400
fc ingolstadt 04,german 2. bundesliga,216.000,212.000,1.400,1.400,45.300
tenerife,spanish segunda division,217.000,221.000,1.300,1.300,45.300
banfield,argentina primera division,218.000,216.000,1.000,1.000,44.900
middlesbrough,english league championship,219.000,217.000,1.200,1.200,44.800
necaxa,mexican primera division torneo apertura,220.000,218.000,1.200,1.200,44.800
numancia,spanish segunda division,221.000,196.000,1.100,1.100,44.800
rio ave,portuguese liga,222.000,219.000,1.100,1.100,44.800
guimaraes,portuguese liga,223.000,220.000,1.300,1.300,44.600
rangers,scottish premiership,224.000,222.000,1.700,1.800,44.400
palermo,italy serie b,225.000,223.000,1.100,1.200,44.400
fc zorya luhansk,uefa europa league,226.000,224.000,1.200,1.200,44.400
chapecoense af,brasileiro srie a,227.000,234.000,1.200,1.300,44.200
bk hacken,swedish allsvenskan,228.000,208.000,1.300,1.300,44.100
sv zulte waregem,uefa europa league,229.000,226.000,1.500,1.600,44.100
1. fc union berlin,german 2. bundesliga,230.000,227.000,1.300,1.400,44.100
